Air Speed,Pressure Force y
10,-33.63247718132
20,-134.167316163
30,-297.106033411
40,-523.7619719793
50,-798.6720388192
60,-1196.201672591
70,-1569.018507175
80,-2083.273694596
90,-2657.795310211
100,-3313.20888974
