Air Speed,Pressure Force y
10,-33.17747995342
20,-130.6191695804
30,-308.1387951159
40,-625.5498990149
50,-860.3622244012
60,-1185.738763208
70,-1596.033985762
80,-2057.62061213
90,-2607.851143137
100,-3203.05257573
