Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.265369064890e+00,-3.291766051158e+02,2.129424949426e+02,-3.367907432207e+00,-3.374217067609e+02,2.273574214135e+02,-1.102538367316e+00,-8.245101645101e+00,1.441492647086e+01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.277548551172e+00,-5.995869709093e+02,3.651952228520e+02,-3.382883659774e+00,-6.015703475916e+02,3.725756664616e+02,-1.053351086023e-01,-1.983376682328e+00,7.380443609675e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.396548485123e+00,-5.591581175154e+02,3.254536002874e+02,-4.126045983700e+00,-5.589071847783e+02,3.303914845408e+02,2.705025014228e-01,2.509327370539e-01,4.937884253331e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.460664839136e+00,-3.694667466106e+02,2.011427595614e+02,-3.070460851506e+00,-3.685999437314e+02,2.049968900758e+02,3.902039876300e-01,8.668028791719e-01,3.854130514379e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.148729934004e-01,-2.662013227133e+02,1.348068629456e+02,2.215978847120e-01,-2.653294626071e+02,1.380109096875e+02,3.364708781125e-01,8.718601062656e-01,3.204046741866e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.674045404322e+00,-3.152020542327e+02,1.593701273412e+02,3.007563489066e+00,-3.144808785224e+02,1.622744685657e+02,3.335180847446e-01,7.211757103050e-01,2.904341224542e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.006548035594e+00,-4.213777972964e+02,2.137522824139e+02,3.300338156817e+00,-4.207183310059e+02,2.164572388173e+02,2.937901212224e-01,6.594662904950e-01,2.704956403319e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.462789415902e+00,-4.749045896618e+02,2.345525693818e+02,1.715601819520e+00,-4.742960537646e+02,2.370446416216e+02,2.528124036184e-01,6.085358972127e-01,2.492072239869e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.367191819866e-01,-4.490371224005e+02,2.098754650145e+02,-1.601330820275e-02,-4.484255962349e+02,2.122391613829e+02,2.207058737839e-01,6.115261655507e-01,2.363696368432e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.853635532114e-01,-3.900403851368e+02,1.700799324199e+02,-6.857512301743e-01,-3.894458849640e+02,1.723779548325e+02,1.996123230371e-01,5.945001728033e-01,2.298022412554e+00
