Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.667656062221e+01,-2.348470289228e+03,1.516581179601e+03,-1.980883924621e+01,-2.372529143298e+03,1.558942776969e+03,-3.132278624000e+00,-2.405885407025e+01,4.236159736760e+01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.392124115105e+01,-4.272116238434e+03,2.599414113326e+03,-2.432320858177e+01,-4.277935432950e+03,2.620815095516e+03,-4.019674307119e-01,-5.819194515169e+00,2.140098218965e+01
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.122728107412e+01,-3.977920893311e+03,2.314036989771e+03,-3.068169614466e+01,-3.977431723739e+03,2.327118745712e+03,5.455849294582e-01,4.891695725368e-01,1.308175594137e+01
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.447056657806e+01,-2.625987239582e+03,1.429705145404e+03,-2.359053366082e+01,-2.623332901024e+03,1.439628636291e+03,8.800329172394e-01,2.654338557940e+00,9.923490887142e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.193217426606e+00,-1.893746623262e+03,9.595052809292e+02,-3.029099893612e-01,-1.890764345811e+03,9.679096804392e+02,8.903074372448e-01,2.982277451084e+00,8.404399509991e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.869285799813e+01,-2.245412968174e+03,1.135339320976e+03,1.933913215428e+01,-2.243047187648e+03,1.142766457812e+03,6.462741561482e-01,2.365780525901e+00,7.427136835923e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.262446035583e+01,-3.001882408898e+03,1.522792106935e+03,2.308687381400e+01,-3.000133925696e+03,1.529418279684e+03,4.624134581631e-01,1.748483201975e+00,6.626172748960e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.141750604659e+01,-3.383703898054e+03,1.671809276391e+03,1.184350235226e+01,-3.382239270281e+03,1.677899726953e+03,4.259963056656e-01,1.464627772870e+00,6.090450562102e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.055001818858e+00,-3.202018181126e+03,1.497862413820e+03,-1.773411690173e+00,-3.200636973080e+03,1.503643100322e+03,2.815901286851e-01,1.381208045957e+00,5.780686502253e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.545486926805e+00,-2.785589030604e+03,1.215807782834e+03,-9.321256202591e+00,-2.784184415249e+03,1.221355406681e+03,2.242307242146e-01,1.404615354884e+00,5.547623847463e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.315750961255e+00,-2.523578538373e+03,1.053830220509e+03,-8.164886832708e+00,-2.522417272742e+03,1.058940908872e+03,1.508641285470e-01,1.161265631263e+00,5.110688363200e+00
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.273111049595e+00,-2.527378724071e+03,1.059083172528e+03,-4.100409558434e+00,-2.526240475197e+03,1.064154114193e+03,1.727014911610e-01,1.138248873504e+00,5.070941665719e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.590090258964e+00,-2.653398748855e+03,1.130772317353e+03,-3.458744537830e+00,-2.652387041672e+03,1.135593411368e+03,1.313457211338e-01,1.011707183340e+00,4.821094015079e+00
