Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.611013647325e+01,-3.666759143476e+03,2.368122572426e+03,-3.013443942722e+01,-3.697551746452e+03,2.422752310144e+03,-4.024302953968e+00,-3.079260297647e+01,5.462973771803e+01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.752778964594e+01,-6.673625263232e+03,4.061139715047e+03,-3.800978927109e+01,-6.681200570598e+03,4.089234510998e+03,-4.819996251553e-01,-7.575307365348e+00,2.809479595029e+01
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.903608763327e+01,-6.215981462899e+03,3.616336104091e+03,-4.831663806081e+01,-6.215205133732e+03,3.633244030128e+03,7.194495724624e-01,7.763291671916e-01,1.690792603751e+01
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.842013377860e+01,-4.104870945496e+03,2.235108378325e+03,-3.733000017161e+01,-4.101402237953e+03,2.247934661450e+03,1.090133606991e+00,3.468707543624e+00,1.282628312511e+01
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.977957598317e+00,-2.960920043150e+03,1.500403888863e+03,-8.927721484258e-01,-2.956976233614e+03,1.510720575136e+03,1.085185449891e+00,3.943809536283e+00,1.031668627254e+01
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.917438532423e+01,-3.508955098840e+03,1.774464494224e+03,3.013838069384e+01,-3.505817551717e+03,1.783501496186e+03,9.639953696127e-01,3.137547122686e+00,9.037001962045e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.377758377350e+01,-4.691320804376e+03,2.379651446005e+03,3.448683944397e+01,-4.688909190566e+03,2.388290396665e+03,7.092556704753e-01,2.411613809737e+00,8.638950660506e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.741920454522e+01,-5.288773340195e+03,2.613110827098e+03,1.786173521830e+01,-5.286940172233e+03,2.620781276484e+03,4.425306730792e-01,1.833167962606e+00,7.670449386713e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.062878727285e+00,-5.007502938241e+03,2.342492587478e+03,-1.633398732882e+00,-5.005755183391e+03,2.349726721481e+03,4.294799944031e-01,1.747754850660e+00,7.234134002922e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.829004884997e+00,-4.358362253991e+03,1.902445772143e+03,-9.487419606073e+00,-4.356815953058e+03,1.909267117164e+03,3.415852789248e-01,1.546300933162e+00,6.821345021094e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.042560528648e+00,-3.948485009583e+03,1.648667735682e+03,-5.859910873302e+00,-3.946860661429e+03,1.655177686755e+03,1.826496553463e-01,1.624348154094e+00,6.509951073307e+00
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.878122875679e-01,-3.953987393346e+03,1.656408750960e+03,-2.328049496447e-01,-3.952532777292e+03,1.662641867645e+03,1.550073379232e-01,1.454616053589e+00,6.233116684881e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.441682963119e+00,-4.151487822622e+03,1.768991172302e+03,-2.327553730912e+00,-4.150181780199e+03,1.775107016045e+03,1.141292322072e-01,1.306042423578e+00,6.115843742722e+00
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.087673665800e+01,-4.268332100946e+03,1.815727609088e+03,-1.081642299014e+01,-4.267124021308e+03,1.821463216854e+03,6.031366785153e-02,1.208079638405e+00,5.735607765598e+00
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.789519299654e+01,-4.213418275112e+03,1.753706347504e+03,-1.787023526443e+01,-4.212247121166e+03,1.759269376848e+03,2.495773211260e-02,1.171153946562e+00,5.563029343555e+00
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.913033499548e+01,-4.077720114906e+03,1.653582816491e+03,-1.907839037713e+01,-4.076461766676e+03,1.659158456769e+03,5.194461835037e-02,1.258348230144e+00,5.575640277447e+00
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.398475128787e+01,-3.993073220969e+03,1.596895006972e+03,-1.402806446934e+01,-3.991998099188e+03,1.602207093080e+03,-4.331318147535e-02,1.075121781046e+00,5.312086108380e+00
