Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.089698343073e+00,-1.620341406483e+02,-1.515652898488e+02,9.148913749742e+00,-1.601584909671e+02,-1.566427982457e+02,3.059215406669e+00,1.875649681117e+00,-5.077508396932e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.516468257843e+00,-2.877289832061e+02,-2.408572472000e+02,8.532681607093e+00,-2.867812995757e+02,-2.435116571432e+02,1.016213349250e+00,9.476836304540e-01,-2.654409943250e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.474005657024e+00,-2.547060503730e+02,-1.699436824211e+02,9.907663780282e+00,-2.540065297760e+02,-1.717541653989e+02,4.336581232584e-01,6.995205969307e-01,-1.810482977874e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.176376007242e+00,-1.493344000848e+02,-4.698548974495e+01,9.484930766038e+00,-1.486575010590e+02,-4.843926402209e+01,3.085547587958e-01,6.768990257882e-01,-1.453774277140e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.817311530411e+00,-1.028149810783e+02,-3.207724088175e+00,2.968605768612e+00,-1.022683606033e+02,-4.452721427260e+00,1.512942382012e-01,5.466204750026e-01,-1.244997339085e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.207513413611e+00,-1.550539316204e+02,-6.315854668442e+01,-8.118779563902e+00,-1.545928391900e+02,-6.433111146257e+01,8.873384970889e-02,4.610924303213e-01,-1.172564778151e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.712956545706e+01,-2.436767190476e+02,-1.482972576964e+02,-1.701551338712e+01,-2.431900129437e+02,-1.494030427593e+02,1.140520699353e-01,4.867061039519e-01,-1.105785062832e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.093640432831e+01,-2.978293329749e+02,-1.845140693424e+02,-2.083495475509e+01,-2.974195156286e+02,-1.856262185380e+02,1.014495732151e-01,4.098173462939e-01,-1.112149195595e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.150659679861e+01,-2.962250278472e+02,-1.611462871964e+02,-2.144514231616e+01,-2.958668131814e+02,-1.621899366100e+02,6.145448245126e-02,3.582146658514e-01,-1.043649413595e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.262252876286e+01,-2.709190227867e+02,-1.245162802686e+02,-2.254041913002e+01,-2.705364715281e+02,-1.255585798678e+02,8.210963283630e-02,3.825512586611e-01,-1.042299599236e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.647055449016e+01,-2.592602885124e+02,-1.139756520515e+02,-2.638255520809e+01,-2.589263860909e+02,-1.149597156955e+02,8.799928207650e-02,3.339024214557e-01,-9.840636440401e-01
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.205028901747e+01,-2.717764846172e+02,-1.319802541204e+02,-3.195834901973e+01,-2.714462679250e+02,-1.329916188936e+02,9.193999773751e-02,3.302166921992e-01,-1.011364773239e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.696991727502e+01,-2.946057241659e+02,-1.549088679896e+02,-3.687008613134e+01,-2.942550599165e+02,-1.559245655795e+02,9.983114367799e-02,3.506642494211e-01,-1.015697589866e+00
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.984437192739e+01,-3.089228115139e+02,-1.615993541656e+02,-3.980251849438e+01,-3.086394901889e+02,-1.625856304353e+02,4.185343300304e-02,2.833213249983e-01,-9.862762697013e-01
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.102679719818e+01,-3.088650919021e+02,-1.510442590972e+02,-4.098129717241e+01,-3.085302868463e+02,-1.520128191082e+02,4.550002577044e-02,3.348050557334e-01,-9.685600110321e-01
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.192556189085e+01,-3.017833194944e+02,-1.366702896727e+02,-4.188006614946e+01,-3.014948744312e+02,-1.375662738973e+02,4.549574139681e-02,2.884450632169e-01,-8.959842245997e-01
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.347293088386e+01,-2.974336099707e+02,-1.299697720322e+02,-4.343232117636e+01,-2.971354080119e+02,-1.308634034602e+02,4.060970749175e-02,2.982019587573e-01,-8.936314280192e-01
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.547253734555e+01,-2.993458547915e+02,-1.319097968669e+02,-4.542247369816e+01,-2.990409710155e+02,-1.327794066479e+02,5.006364738727e-02,3.048837760070e-01,-8.696097809262e-01
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.733100214654e+01,-3.049512443874e+02,-1.363363869920e+02,-4.728145859370e+01,-3.046537645301e+02,-1.372096315346e+02,4.954355284079e-02,2.974798572836e-01,-8.732445425361e-01
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.862458200561e+01,-3.100396258624e+02,-1.375465068005e+02,-4.856280063263e+01,-3.097563135884e+02,-1.384402920276e+02,6.178137298221e-02,2.833122740656e-01,-8.937852270845e-01
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.938734688004e+01,-3.126699251566e+02,-1.347932758777e+02,-4.933268624682e+01,-3.123908242134e+02,-1.356684702876e+02,5.466063321450e-02,2.791009432444e-01,-8.751944098432e-01
"                  22",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.007076190356e+01,-3.136912006271e+02,-1.311865900591e+02,-5.000536633086e+01,-3.134559469389e+02,-1.319963926565e+02,6.539557269876e-02,2.352536882429e-01,-8.098025974006e-01
"                  23",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.113166891490e+01,-3.149340765030e+02,-1.296504990115e+02,-5.108180271388e+01,-3.146906780000e+02,-1.304669787466e+02,4.986620102416e-02,2.433985030218e-01,-8.164797350659e-01
"                  24",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.250878447776e+01,-3.171869122137e+02,-1.304718687367e+02,-5.245475335058e+01,-3.169646920490e+02,-1.312926716722e+02,5.403112718344e-02,2.222201646791e-01,-8.208029355577e-01
