Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.308021439104e+01,-8.827370030796e+02,-8.251193716847e+02,4.149394674074e+01,-8.785571169137e+02,-8.370782471054e+02,8.413732349696e+00,4.179886165931e+00,-1.195887542076e+01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.081233937596e+01,-1.567811171174e+03,-1.312562004707e+03,4.359876610771e+01,-1.565169507866e+03,-1.319321953573e+03,2.786426731751e+00,2.641663308601e+00,-6.759948865653e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.136363275746e+01,-1.388652534924e+03,-9.277219628890e+02,5.252752276889e+01,-1.386938558237e+03,-9.321983333030e+02,1.163890011435e+00,1.713976686747e+00,-4.476370413952e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.992951867632e+01,-8.152913215616e+02,-2.587255452037e+02,5.048370629082e+01,-8.138412151777e+02,-2.621290148297e+02,5.541876145023e-01,1.450106383928e+00,-3.403469626051e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.571800894051e+01,-5.626842605529e+02,-2.132561192091e+01,1.607786578537e+01,-5.613865278948e+02,-2.429184025514e+01,3.598568448530e-01,1.297732658068e+00,-2.966228334233e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.409233073452e+01,-8.466760080996e+02,-3.475095092089e+02,-4.374694518356e+01,-8.454461244717e+02,-3.502286169752e+02,3.453855509615e-01,1.229883627936e+00,-2.719107766259e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.298922624299e+01,-1.328248344602e+03,-8.111903591510e+02,-9.267235248933e+01,-1.327132421604e+03,-8.136244385122e+02,3.168737536516e-01,1.115922998162e+00,-2.434079361243e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.137576329512e+02,-1.623134190718e+03,-1.007273835420e+03,-1.135816812416e+02,-1.622289800179e+03,-1.009640011055e+03,1.759517095621e-01,8.443905389682e-01,-2.366175635791e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.165932896991e+02,-1.614470266743e+03,-8.790197361679e+02,-1.164795478577e+02,-1.613704068168e+03,-8.813762393197e+02,1.137418413838e-01,7.661985744381e-01,-2.356503151772e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.222562102738e+02,-1.477093816250e+03,-6.789645605747e+02,-1.221620303024e+02,-1.476385550132e+03,-6.812788320347e+02,9.417997136427e-02,7.082661179153e-01,-2.314271459918e+00
