Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.722263446503e-01,-1.798086257305e+01,-1.685141776202e+01,1.657511148290e+00,-1.741274442994e+01,-1.847775354694e+01,9.852848036399e-01,5.681181431092e-01,-1.626335784919e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.251445575874e-01,-3.192482073515e+01,-2.673859279572e+01,1.199317512351e+00,-3.161109586346e+01,-2.758431552582e+01,3.741729547637e-01,3.137248716960e-01,-8.457227300973e-01
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.044263374214e+00,-2.822544299020e+01,-1.880653989416e+01,1.208154988512e+00,-2.800016951062e+01,-1.937180404214e+01,1.638916142978e-01,2.252734795832e-01,-5.652641479868e-01
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.004472340102e+00,-1.649555315615e+01,-5.102178490433e+00,1.105192771795e+00,-1.628512544382e+01,-5.577004414456e+00,1.007204316930e-01,2.104277123325e-01,-4.748259240225e-01
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.886115103477e-01,-1.131615572320e+01,-2.125693535846e-01,3.649139652801e-01,-1.110803622179e+01,-6.282952497342e-01,7.630245493241e-02,2.081195014061e-01,-4.157258961495e-01
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.390026036027e-01,-1.708651450246e+01,-6.821451352214e+00,-8.682905544773e-01,-1.691333480780e+01,-7.239897064754e+00,7.071204912536e-02,1.731796946593e-01,-4.184457125394e-01
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.933769794413e+00,-2.689400725470e+01,-1.625057489791e+01,-1.882478502909e+00,-2.672380720476e+01,-1.664364497423e+01,5.129129150388e-02,1.702000499396e-01,-3.930700763197e-01
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.371370672932e+00,-3.290208901291e+01,-2.030800590164e+01,-2.310060879594e+00,-3.268685641045e+01,-2.070619568288e+01,6.130979333763e-02,2.152326024607e-01,-3.981897812360e-01
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.423255492165e+00,-3.268804244463e+01,-1.770335611230e+01,-2.362590376814e+00,-3.244336719072e+01,-1.813655867703e+01,6.066511535060e-02,2.446752539048e-01,-4.332025647283e-01
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.535444849646e+00,-2.984803937435e+01,-1.363276879820e+01,-2.496089681424e+00,-2.962186908734e+01,-1.406016249268e+01,3.935516822275e-02,2.261702870071e-01,-4.273936944832e-01
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.957268484516e+00,-2.854843798160e+01,-1.247834245938e+01,-2.927075758897e+00,-2.834163091470e+01,-1.287225685225e+01,3.019272561845e-02,2.068070668953e-01,-3.939143928686e-01
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.577699522663e+00,-2.991195552789e+01,-1.445722871120e+01,-3.551042967920e+00,-2.972201200379e+01,-1.486316661908e+01,2.665655474365e-02,1.899435241004e-01,-4.059379078824e-01
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.123361832208e+00,-3.233567349524e+01,-1.688668632696e+01,-4.099538900950e+00,-3.218151036466e+01,-1.723691117009e+01,2.382293125781e-02,1.541631305826e-01,-3.502248431340e-01
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.437109533365e+00,-3.385725272547e+01,-1.754357169254e+01,-4.419438706340e+00,-3.369584828808e+01,-1.788831657016e+01,1.767082702525e-02,1.614044373858e-01,-3.447448776223e-01
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.567854252301e+00,-3.385610884169e+01,-1.638853736068e+01,-4.547141124628e+00,-3.367597663903e+01,-1.674126545758e+01,2.071312767284e-02,1.801322026612e-01,-3.527280968981e-01
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.670724163555e+00,-3.308327863434e+01,-1.483025327391e+01,-4.637321919220e+00,-3.289643190608e+01,-1.518249883055e+01,3.340224433551e-02,1.868467282656e-01,-3.522455566376e-01
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.850198593662e+00,-3.258945712787e+01,-1.409695944617e+01,-4.836865687447e+00,-3.244841615646e+01,-1.440688369795e+01,1.333290621463e-02,1.410409714070e-01,-3.099242517860e-01
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.089724783412e+00,-3.278817431963e+01,-1.430551286447e+01,-5.069110429074e+00,-3.265719136212e+01,-1.457940760720e+01,2.061435433784e-02,1.309829575164e-01,-2.738947427264e-01
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.307618676286e+00,-3.340640031504e+01,-1.478785668538e+01,-5.288142346356e+00,-3.329009832986e+01,-1.504418153847e+01,1.947632992980e-02,1.163019851843e-01,-2.563248530883e-01
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.470698844211e+00,-3.397787103779e+01,-1.492622723460e+01,-5.450034472864e+00,-3.385197670169e+01,-1.521173973673e+01,2.066437134681e-02,1.258943361039e-01,-2.855125021311e-01
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.565213132252e+00,-3.426943932688e+01,-1.462747373909e+01,-5.543292137597e+00,-3.417287634484e+01,-1.487994366319e+01,2.192099465451e-02,9.656298203322e-02,-2.524699241082e-01
