Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.706517960546e+00,-7.198387436762e+01,-6.737026706174e+01,4.690090581455e+00,-7.080693407055e+01,-7.068285400922e+01,1.983572620909e+00,1.176940297066e+00,-3.312586947485e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.339365601868e+00,-1.278178942990e+02,-1.070087836637e+02,4.003819259502e+00,-1.272041887516e+02,-1.087374374970e+02,6.644536576345e-01,6.137055474601e-01,-1.728653833249e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.213316614463e+00,-1.131083655167e+02,-7.543197916047e+01,4.576401392064e+00,-1.125876171406e+02,-7.661974253856e+01,3.630847776005e-01,5.207483760758e-01,-1.187763378087e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.069659589284e+00,-6.625075039511e+01,-2.073803156178e+01,4.240199004753e+00,-6.586280976730e+01,-2.167643341098e+01,1.705394154690e-01,3.879406278106e-01,-9.384018491991e-01
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.228103338310e+00,-4.556124703806e+01,-1.255845686709e+00,1.332944305290e+00,-4.518268965402e+01,-2.104585231724e+00,1.048409669795e-01,3.785573840347e-01,-8.487395450152e-01
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.682213067128e+00,-6.875271938122e+01,-2.785323470109e+01,-3.590368159239e+00,-6.839121187880e+01,-2.867575115956e+01,9.184490788863e-02,3.615075024220e-01,-8.225164584707e-01
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.640250235879e+00,-1.081018064988e+02,-6.563529205268e+01,-7.553899814807e+00,-1.078133011710e+02,-6.640736779800e+01,8.635042107204e-02,2.885053278484e-01,-7.720757453282e-01
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.343784011627e+00,-1.321613974423e+02,-8.176823106908e+01,-9.251965600533e+00,-1.318655339652e+02,-8.252480716622e+01,9.181841109376e-02,2.958634771064e-01,-7.565760971413e-01
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.589656883258e+00,-1.313907410150e+02,-7.135144756117e+01,-9.487565553167e+00,-1.311183101500e+02,-7.208233183373e+01,1.020913300908e-01,2.724308649792e-01,-7.308842725580e-01
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.008823612281e+01,-1.201272796719e+02,-5.510425110124e+01,-1.001841798716e+01,-1.198341385816e+02,-5.580405446751e+01,6.981813565348e-02,2.931410902879e-01,-6.998033662701e-01
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.179147829163e+01,-1.149478940436e+02,-5.045609278387e+01,-1.172525575622e+01,-1.146418197669e+02,-5.120666025456e+01,6.622253540804e-02,3.060742767578e-01,-7.505674706922e-01
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.425988943471e+01,-1.204583222110e+02,-5.841611415374e+01,-1.421218731116e+01,-1.201374533372e+02,-5.912918159421e+01,4.770212354570e-02,3.208688738361e-01,-7.130674404640e-01
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.645236210368e+01,-1.303841534465e+02,-6.835812316217e+01,-1.641440443425e+01,-1.300718844689e+02,-6.911323540427e+01,3.795766942728e-02,3.122689775339e-01,-7.551122420957e-01
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.770924562967e+01,-1.366441224005e+02,-7.116916592399e+01,-1.766848131330e+01,-1.363976667752e+02,-7.181431116459e+01,4.076431637397e-02,2.464556253492e-01,-6.451452405964e-01
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.820429477407e+01,-1.366655329926e+02,-6.656023029369e+01,-1.817870566639e+01,-1.364064753814e+02,-6.721315196884e+01,2.558910767983e-02,2.590576112004e-01,-6.529216751545e-01
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.860770423437e+01,-1.335604291339e+02,-6.027733810280e+01,-1.858843754522e+01,-1.332142255632e+02,-6.099042446627e+01,1.926668914921e-02,3.462035706370e-01,-7.130863634687e-01
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.933104777446e+01,-1.316435369316e+02,-5.736091279332e+01,-1.930805205140e+01,-1.313597457645e+02,-5.802683364666e+01,2.299572305992e-02,2.837911671412e-01,-6.659208533383e-01
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.028383729702e+01,-1.325006584483e+02,-5.823919565824e+01,-2.025815921525e+01,-1.322430733354e+02,-5.887847531274e+01,2.567808177237e-02,2.575851129130e-01,-6.392796545056e-01
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.111979786769e+01,-1.349893086265e+02,-6.018303294587e+01,-2.109398836569e+01,-1.347557983062e+02,-6.080236498708e+01,2.580950199773e-02,2.335103203737e-01,-6.193320412185e-01
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.171625359518e+01,-1.372324008326e+02,-6.070065848522e+01,-2.168225106494e+01,-1.369961584793e+02,-6.130546185901e+01,3.400253023429e-02,2.362423532802e-01,-6.048033737907e-01
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.204846879742e+01,-1.383746903390e+02,-5.946084588685e+01,-2.201440279824e+01,-1.381820880526e+02,-6.003586474814e+01,3.406599918633e-02,1.926022863602e-01,-5.750188612864e-01
"                  22",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.233484634976e+01,-1.387829882780e+02,-5.783344974992e+01,-2.229846515463e+01,-1.385992810599e+02,-5.840975144151e+01,3.638119513009e-02,1.837072180720e-01,-5.763016915858e-01
"                  23",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.279880434694e+01,-1.393011533997e+02,-5.713316739555e+01,-2.276924375818e+01,-1.391419100493e+02,-5.767510101059e+01,2.956058875426e-02,1.592433504109e-01,-5.419336150364e-01
"                  24",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.342203977744e+01,-1.402886214595e+02,-5.750320906853e+01,-2.338863652235e+01,-1.401544739936e+02,-5.803348698959e+01,3.340325509463e-02,1.341474658482e-01,-5.302779210597e-01
"                  25",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.401633984676e+01,-1.415250480187e+02,-5.813885058164e+01,-2.397482381205e+01,-1.414051740644e+02,-5.862516991451e+01,4.151603470355e-02,1.198739542567e-01,-4.863193328747e-01
"                  26",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.448841906044e+01,-1.426400878623e+02,-5.830933050381e+01,-2.445144647439e+01,-1.425216350224e+02,-5.880323516906e+01,3.697258604937e-02,1.184528399561e-01,-4.939046652517e-01
"                  27",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.485523848953e+01,-1.434998936491e+02,-5.790559696355e+01,-2.480851413380e+01,-1.434005650626e+02,-5.837413130207e+01,4.672435573310e-02,9.932858647949e-02,-4.685343385163e-01
"                  28",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.518733593505e+01,-1.442349547006e+02,-5.735550794159e+01,-2.514305365360e+01,-1.441291417017e+02,-5.782769574519e+01,4.428228145796e-02,1.058129989192e-01,-4.721878036006e-01
"                  29",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.554564711990e+01,-1.449934609332e+02,-5.707833450800e+01,-2.550475900182e+01,-1.449221089155e+02,-5.752904132163e+01,4.088811807934e-02,7.135201774571e-02,-4.507068136295e-01
"                  30",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.600680199355e+01,-1.458193197321e+02,-5.713468781906e+01,-2.596451318142e+01,-1.457572588360e+02,-5.758209745997e+01,4.228881212730e-02,6.206089612942e-02,-4.474096409094e-01
"                  31",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.651430408829e+01,-1.466196510405e+02,-5.726476510737e+01,-2.647361521108e+01,-1.465518938741e+02,-5.771256940422e+01,4.068887720526e-02,6.775716636790e-02,-4.478042968523e-01
"                  32",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.699579085937e+01,-1.472846159955e+02,-5.717536628387e+01,-2.695115293052e+01,-1.472220899304e+02,-5.760373894527e+01,4.463792884613e-02,6.252606504185e-02,-4.283726613995e-01
"                  33",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.740437014431e+01,-1.477637524025e+02,-5.681047148689e+01,-2.736320081566e+01,-1.477145400916e+02,-5.723331399500e+01,4.116932864960e-02,4.921231089227e-02,-4.228425081117e-01
"                  34",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.777273546622e+01,-1.481182092860e+02,-5.633816115843e+01,-2.773403332489e+01,-1.480948949899e+02,-5.674964400436e+01,3.870214133021e-02,2.331429607797e-02,-4.114828459295e-01
"                  35",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.816593520386e+01,-1.484168580405e+02,-5.594737349768e+01,-2.812822608625e+01,-1.483802970627e+02,-5.636855302902e+01,3.770911761440e-02,3.656097783139e-02,-4.211795313335e-01
"                  36",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.854157525653e+01,-1.487051195423e+02,-5.569391682760e+01,-2.850278178094e+01,-1.486773040965e+02,-5.609539106479e+01,3.879347558773e-02,2.781544580503e-02,-4.014742371891e-01
"                  37",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.889809569709e+01,-1.490070163334e+02,-5.552256595371e+01,-2.885965374621e+01,-1.489877734942e+02,-5.592763855752e+01,3.844195088421e-02,1.924283920498e-02,-4.050726038131e-01
"                  38",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.928004640777e+01,-1.492911203182e+02,-5.534600729651e+01,-2.924359207291e+01,-1.492786026151e+02,-5.573823703793e+01,3.645433486199e-02,1.251770309402e-02,-3.922297414221e-01
"                  39",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.965655680426e+01,-1.494542994259e+02,-5.506741814641e+01,-2.961475353000e+01,-1.494223826988e+02,-5.546226989246e+01,4.180327425663e-02,3.191672708882e-02,-3.948517460548e-01
"                  40",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.003103507697e+01,-1.495487533997e+02,-5.472092229928e+01,-2.998495944283e+01,-1.495336305913e+02,-5.511609166576e+01,4.607563414414e-02,1.512280835064e-02,-3.951693664823e-01
"                  41",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.039360170966e+01,-1.495982359750e+02,-5.437549395904e+01,-3.034238513844e+01,-1.495969502487e+02,-5.475848317394e+01,5.121657122204e-02,1.285726373772e-03,-3.829892149013e-01
"                  42",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.073921882673e+01,-1.496058077258e+02,-5.406492953996e+01,-3.069334361822e+01,-1.495907487204e+02,-5.444762944676e+01,4.587520850986e-02,1.505900540546e-02,-3.826999067958e-01
"                  43",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.108109141380e+01,-1.495763792047e+02,-5.379321525827e+01,-3.103601060892e+01,-1.495746640495e+02,-5.417128582090e+01,4.508080488124e-02,1.715155181962e-03,-3.780705626304e-01
"                  44",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.142830705147e+01,-1.495223191531e+02,-5.352303263303e+01,-3.138398123832e+01,-1.495262707921e+02,-5.390258043934e+01,4.432581314786e-02,-3.951639002187e-03,-3.795478063079e-01
"                  45",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.179615459933e+01,-1.493981564273e+02,-5.322387979579e+01,-3.175244098095e+01,-1.494057863776e+02,-5.360499378621e+01,4.371361837718e-02,-7.629950258802e-03,-3.811139904168e-01
"                  46",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.217775627110e+01,-1.491523295119e+02,-5.288760282777e+01,-3.213307629499e+01,-1.491453008968e+02,-5.326986225699e+01,4.467997611159e-02,7.028615152208e-03,-3.822594292209e-01
"                  47",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.255424798839e+01,-1.488522395888e+02,-5.258789133938e+01,-3.250770165964e+01,-1.488452550053e+02,-5.296804205454e+01,4.654632875134e-02,6.984583558612e-03,-3.801507151530e-01
"                  48",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.291533414759e+01,-1.485311642702e+02,-5.232240625710e+01,-3.287118691736e+01,-1.485176480878e+02,-5.270672672696e+01,4.414723022688e-02,1.351618231327e-02,-3.843204698686e-01
"                  49",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.324770584728e+01,-1.482535614941e+02,-5.204845246515e+01,-3.319951718553e+01,-1.482343184295e+02,-5.243405074154e+01,4.818866175753e-02,1.924306456692e-02,-3.855982763912e-01
"                  50",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.357006890064e+01,-1.479834873958e+02,-5.175472924226e+01,-3.352220161904e+01,-1.479603253424e+02,-5.213936399883e+01,4.786728159818e-02,2.316205334300e-02,-3.846347565722e-01
"                  51",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.389888312192e+01,-1.476873612403e+02,-5.148862235290e+01,-3.385062687336e+01,-1.476649947029e+02,-5.187387394203e+01,4.825624855876e-02,2.236653741138e-02,-3.852515891312e-01
"                  52",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.423915775173e+01,-1.473856984015e+02,-5.126387428183e+01,-3.419223957047e+01,-1.473752038920e+02,-5.164440814071e+01,4.691818126046e-02,1.049450942844e-02,-3.805338588810e-01
"                  53",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.460918838088e+01,-1.471254455169e+02,-5.106031691749e+01,-3.456185362437e+01,-1.471189861448e+02,-5.144316275762e+01,4.733475650693e-02,6.459372112968e-03,-3.828458401267e-01
"                  54",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.501443778612e+01,-1.468685043278e+02,-5.086834025456e+01,-3.496470156993e+01,-1.468482992277e+02,-5.125878232633e+01,4.973621618266e-02,2.020510011934e-02,-3.904420717722e-01
"                  55",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.539833210420e+01,-1.466757162935e+02,-5.068501094658e+01,-3.534554471336e+01,-1.466639168382e+02,-5.106771016908e+01,5.278739084572e-02,1.179945530581e-02,-3.826992225004e-01
"                  56",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.575578874501e+01,-1.465137722302e+02,-5.049402664513e+01,-3.570317062453e+01,-1.465052673883e+02,-5.087564538815e+01,5.261812048560e-02,8.504841909948e-03,-3.816187430136e-01
"                  57",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.611980119575e+01,-1.463683788218e+02,-5.030743475246e+01,-3.607067549570e+01,-1.463444266155e+02,-5.069770712645e+01,4.912570005001e-02,2.395220635665e-02,-3.902723739858e-01
"                  58",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.645856533502e+01,-1.462579163314e+02,-5.014781921448e+01,-3.641165135746e+01,-1.462577361942e+02,-5.053206777211e+01,4.691397755438e-02,1.801371764404e-04,-3.842485576332e-01
"                  59",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.674679027451e+01,-1.461924435825e+02,-5.001207836679e+01,-3.669765585408e+01,-1.461986368146e+02,-5.039895227835e+01,4.913442042695e-02,-6.193232076399e-03,-3.868739115653e-01
"                  60",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.705185937409e+01,-1.460870026290e+02,-4.986648561656e+01,-3.700460866453e+01,-1.460929699074e+02,-5.025341361998e+01,4.725070955802e-02,-5.967278449928e-03,-3.869280034219e-01
"                  61",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.732836625906e+01,-1.458791220580e+02,-4.967960583997e+01,-3.728385597816e+01,-1.458848770893e+02,-5.007383895787e+01,4.451028090317e-02,-5.755031297783e-03,-3.942331179009e-01
"                  62",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.755589025529e+01,-1.455417114821e+02,-4.947901734450e+01,-3.750770309604e+01,-1.455383193668e+02,-4.987564711278e+01,4.818715924910e-02,3.392115304891e-03,-3.966297682854e-01
"                  63",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.770689098117e+01,-1.450734197044e+02,-4.928856102806e+01,-3.765672275270e+01,-1.450843690799e+02,-4.968231246851e+01,5.016822846724e-02,-1.094937553786e-02,-3.937514404463e-01
"                  64",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.784376343882e+01,-1.445781559449e+02,-4.912436559497e+01,-3.779578212161e+01,-1.445907048446e+02,-4.951747316878e+01,4.798131721458e-02,-1.254889976001e-02,-3.931075738125e-01
"                  65",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.797536847688e+01,-1.440933102169e+02,-4.897910619542e+01,-3.793123358522e+01,-1.441103703467e+02,-4.937304532348e+01,4.413489166665e-02,-1.706012974510e-02,-3.939391280608e-01
"                  66",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.809779752599e+01,-1.435738333820e+02,-4.883773015470e+01,-3.805731848238e+01,-1.435911330504e+02,-4.922980875590e+01,4.047904361062e-02,-1.729966838581e-02,-3.920786011925e-01
"                  67",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.812492951441e+01,-1.429436440623e+02,-4.869492400020e+01,-3.808055590055e+01,-1.429629301798e+02,-4.909041570606e+01,4.437361385794e-02,-1.928611756755e-02,-3.954917058580e-01
"                  68",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.805882848954e+01,-1.421941527095e+02,-4.856454842764e+01,-3.801705208122e+01,-1.422139088127e+02,-4.896695787365e+01,4.177640832328e-02,-1.975610319329e-02,-4.024094460052e-01
"                  69",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.804773895348e+01,-1.413202509875e+02,-4.841803565905e+01,-3.800683960879e+01,-1.413331848795e+02,-4.882624338747e+01,4.089934469133e-02,-1.293389200798e-02,-4.082077284167e-01
"                  70",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.805473490268e+01,-1.402550911712e+02,-4.822246463514e+01,-3.801537814992e+01,-1.402640425702e+02,-4.863175224576e+01,3.935675276099e-02,-8.951399011039e-03,-4.092876106220e-01
"                  71",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.794444384368e+01,-1.390756570803e+02,-4.799731497852e+01,-3.790210847302e+01,-1.390897565373e+02,-4.840640390193e+01,4.233537066136e-02,-1.409945698943e-02,-4.090889234042e-01
"                  72",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.772322789412e+01,-1.379362633161e+02,-4.777762021585e+01,-3.767391903274e+01,-1.379493444631e+02,-4.818821631585e+01,4.930886138003e-02,-1.308114699362e-02,-4.105960999931e-01
"                  73",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.748036862137e+01,-1.369164395674e+02,-4.756934126755e+01,-3.743408357020e+01,-1.369339227850e+02,-4.798347304802e+01,4.628505116799e-02,-1.748321764618e-02,-4.141317804703e-01
"                  74",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.723094195445e+01,-1.360599762291e+02,-4.736556384769e+01,-3.718022148841e+01,-1.360730938656e+02,-4.779066252265e+01,5.072046604303e-02,-1.311763654543e-02,-4.250986749564e-01
"                  75",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.695565513283e+01,-1.353145297787e+02,-4.714080150374e+01,-3.690937976442e+01,-1.353262213428e+02,-4.756443050754e+01,4.627536840777e-02,-1.169156404478e-02,-4.236290037967e-01
