Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.081901315095e+01,-2.881324106744e+02,-2.694355158917e+02,1.496248764196e+01,-2.855417516173e+02,-2.763352283424e+02,4.143474491010e+00,2.590659057054e+00,-6.899712450699e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.335387749959e+01,-5.116676753617e+02,-4.283144791599e+02,1.478751827866e+01,-5.103767580724e+02,-4.319110793690e+02,1.433640779068e+00,1.290917289389e+00,-3.596600209121e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.681722666643e+01,-4.530307920206e+02,-3.023903032295e+02,1.733439263205e+01,-4.520856520666e+02,-3.048400806984e+02,5.171659656265e-01,9.451399539987e-01,-2.449777468896e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.630808610224e+01,-2.657499759561e+02,-8.386358707860e+01,1.668795532612e+01,-2.648832959787e+02,-8.580745947769e+01,3.798692238836e-01,8.666799773976e-01,-1.943872399088e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.041766464532e+00,-1.830717055933e+02,-6.081231405637e+00,5.250171045112e+00,-1.822689599531e+02,-7.773029553454e+00,2.084045805799e-01,8.027456402068e-01,-1.691798147816e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.452756621060e+01,-2.760111264170e+02,-1.127655592044e+02,-1.435198505452e+01,-2.753488172029e+02,-1.143105160500e+02,1.755811560805e-01,6.623092141399e-01,-1.544956845648e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.041044677912e+01,-4.336970386097e+02,-2.643025619490e+02,-3.025005195200e+01,-4.331092072414e+02,-2.657603664759e+02,1.603948271253e-01,5.878313682836e-01,-1.457804526969e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.715040931079e+01,-5.300017618388e+02,-3.286081198164e+02,-3.701599617818e+01,-5.294762939910e+02,-3.300317459573e+02,1.344131326198e-01,5.254678478035e-01,-1.423626140937e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.814110805829e+01,-5.271382195756e+02,-2.869591395573e+02,-3.806043338816e+01,-5.266151758777e+02,-2.884342228580e+02,8.067467013406e-02,5.230436979501e-01,-1.475083300703e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.009411570975e+01,-4.820684786570e+02,-2.216824353835e+02,-3.997485812582e+01,-4.815436401403e+02,-2.230662873566e+02,1.192575839310e-01,5.248385167155e-01,-1.383851973101e+00
