Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.689387773322e+01,-4.502805914177e+02,-4.209831026257e+02,2.217905579061e+01,-4.469359537156e+02,-4.297640736165e+02,5.285178057388e+00,3.344637702150e+00,-8.780970990768e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.084945501240e+01,-7.996512050291e+02,-6.693877351646e+02,2.267436476198e+01,-7.979467751909e+02,-6.740005890789e+02,1.824909749581e+00,1.704429838166e+00,-4.612853914301e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.624872385271e+01,-7.081175425781e+02,-4.727965183104e+02,2.699831977816e+01,-7.069168136028e+02,-4.758843676377e+02,7.495959254480e-01,1.200728975249e+00,-3.087849327314e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.548652115333e+01,-4.155467601029e+02,-1.314481687683e+02,2.588567135302e+01,-4.144963884782e+02,-1.339378817604e+02,3.991501996874e-01,1.050371624702e+00,-2.489712992078e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.952243955200e+00,-2.867018180595e+02,-1.037560547390e+01,8.258832380501e+00,-2.857279656427e+02,-1.249668534148e+01,3.065884253008e-01,9.738524167889e-01,-2.121079867581e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.255640093378e+01,-4.316389748551e+02,-1.768195882034e+02,-2.237355136116e+01,-4.308684746126e+02,-1.787833602326e+02,1.828495726116e-01,7.705002424928e-01,-1.963772029253e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.748920546327e+01,-6.776276524890e+02,-4.136165855306e+02,-4.729598302879e+01,-6.768514390437e+02,-4.153706992105e+02,1.932224344795e-01,7.762134453271e-01,-1.754113679922e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.806598871349e+01,-8.280858830428e+02,-5.137033648654e+02,-5.790526721148e+01,-8.274327896429e+02,-5.154161213381e+02,1.607215020129e-01,6.530933999618e-01,-1.712756472745e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.955192967656e+01,-8.235176674470e+02,-4.482024929764e+02,-5.946296255054e+01,-8.229302161051e+02,-4.499221503003e+02,8.896712602727e-02,5.874513418750e-01,-1.719657323851e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.252255228791e+01,-7.532547390403e+02,-3.461313190202e+02,-6.242920031270e+01,-7.526552499795e+02,-3.478477353595e+02,9.335197520916e-02,5.994890607874e-01,-1.716416339355e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.333831404788e+01,-7.211490224949e+02,-3.170648327814e+02,-7.324304083437e+01,-7.206685183276e+02,-3.187733097452e+02,9.527321351267e-02,4.805041672856e-01,-1.708476963838e+00
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.901576112670e+01,-7.561003653110e+02,-3.675045821702e+02,-8.892143391063e+01,-7.555611005428e+02,-3.691670257617e+02,9.432721606735e-02,5.392647681975e-01,-1.662443591491e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.026228179904e+02,-8.180300267920e+02,-4.298476227544e+02,-1.025517841583e+02,-8.176001452940e+02,-4.314457413314e+02,7.103383209068e-02,4.298814979716e-01,-1.598118576998e+00
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.103091910793e+02,-8.570802814563e+02,-4.473858911583e+02,-1.102120626937e+02,-8.566207300651e+02,-4.489754779388e+02,9.712838561543e-02,4.595513911924e-01,-1.589586780423e+00
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.133570565756e+02,-8.575418810707e+02,-4.186999154400e+02,-1.132270599849e+02,-8.570069107540e+02,-4.202915527367e+02,1.299965906161e-01,5.349703166199e-01,-1.591637296736e+00
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.158382406100e+02,-8.384969325110e+02,-3.797188631667e+02,-1.157248938491e+02,-8.379765417867e+02,-3.812891473787e+02,1.133467609352e-01,5.203907242297e-01,-1.570284212017e+00
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.203609482942e+02,-8.271017671148e+02,-3.620721557192e+02,-1.202202345133e+02,-8.266593293179e+02,-3.635592833064e+02,1.407137809632e-01,4.424377968703e-01,-1.487127587163e+00
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.261715836319e+02,-8.329609926897e+02,-3.681287591186e+02,-1.260905942963e+02,-8.324912203256e+02,-3.696596366043e+02,8.098933556086e-02,4.697723641297e-01,-1.530877485677e+00
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.313359425478e+02,-8.488900813350e+02,-3.807233546791e+02,-1.312653849070e+02,-8.484701937817e+02,-3.821895330007e+02,7.055764076569e-02,4.198875533617e-01,-1.466178321605e+00
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.347046653500e+02,-8.630880970485e+02,-3.839971988903e+02,-1.346039110677e+02,-8.626714128013e+02,-3.854250733942e+02,1.007542823666e-01,4.166842472067e-01,-1.427874503863e+00
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.365904024890e+02,-8.703832622667e+02,-3.761520447744e+02,-1.365185914815e+02,-8.700182609429e+02,-3.775706906280e+02,7.181100751346e-02,3.650013238493e-01,-1.418645853609e+00
"                  22",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.385153830189e+02,-8.732741026245e+02,-3.660549801159e+02,-1.384397583382e+02,-8.728894731683e+02,-3.674806345952e+02,7.562468072079e-02,3.846294562424e-01,-1.425654479367e+00
"                  23",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.416428797246e+02,-8.769191615229e+02,-3.619150922696e+02,-1.415718744592e+02,-8.765552113886e+02,-3.632648307437e+02,7.100526536875e-02,3.639501342555e-01,-1.349738474100e+00
"                  24",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.456294339217e+02,-8.833951096304e+02,-3.643465364629e+02,-1.455300888060e+02,-8.830268062420e+02,-3.656771210525e+02,9.934511568407e-02,3.683033883992e-01,-1.330584589632e+00
"                  25",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.493014674291e+02,-8.911365164393e+02,-3.681578564505e+02,-1.492131144985e+02,-8.908083794783e+02,-3.694924197131e+02,8.835293060500e-02,3.281369609987e-01,-1.334563262580e+00
