Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                  61",-1.659902983056e-01,-2.232740241667e-01,-9.811210897427e-02,-1.251619151924e-01,1.352490310907e-02
"                  62",-1.676873900774e-01,-2.223489812927e-01,-9.765574134848e-02,-1.246932399442e-01,1.351874929788e-02
"                  63",-1.692405399015e-01,-2.213881136619e-01,-9.720266168880e-02,-1.241854519731e-01,1.349139514215e-02
"                  64",-1.708385505953e-01,-2.204970874320e-01,-9.677641627476e-02,-1.237206711572e-01,1.347212744124e-02
"                  65",-1.724415079663e-01,-2.195683214799e-01,-9.629895882325e-02,-1.232693626567e-01,1.348520191672e-02
"                  66",-1.740041534249e-01,-2.186079983927e-01,-9.578449487275e-02,-1.228235035199e-01,1.351950432360e-02
"                  67",-1.755277563565e-01,-2.177419729702e-01,-9.531820847412e-02,-1.224237644961e-01,1.355277801100e-02
"                  68",-1.768679442500e-01,-2.169909732522e-01,-9.492928326912e-02,-1.220616899831e-01,1.356620335698e-02
"                  69",-1.781266980731e-01,-2.164113420144e-01,-9.464649751246e-02,-1.217648445019e-01,1.355917349473e-02
"                  70",-1.795827562425e-01,-2.160152447036e-01,-9.444346691671e-02,-1.215717777868e-01,1.356415543506e-02
"                  71",-1.813022145096e-01,-2.155390369897e-01,-9.417744812671e-02,-1.213615888630e-01,1.359207036815e-02
"                  72",-1.831574056931e-01,-2.149354276229e-01,-9.384755578721e-02,-1.210878718357e-01,1.362015802424e-02
"                  73",-1.847980367231e-01,-2.142738065284e-01,-9.350850040029e-02,-1.207653061281e-01,1.362840286389e-02
"                  74",-1.862392298966e-01,-2.137668797219e-01,-9.326173203303e-02,-1.205051476888e-01,1.362170782790e-02
"                  75",-1.874108494397e-01,-2.135006216097e-01,-9.315104744165e-02,-1.203495741681e-01,1.359926336321e-02
"                  76",-1.883922138160e-01,-2.131766203901e-01,-9.301513284546e-02,-1.201614875447e-01,1.357317734960e-02
"                  77",-1.892146340885e-01,-2.127298656537e-01,-9.281207476710e-02,-1.199177908866e-01,1.355285805976e-02
"                  78",-1.899644006396e-01,-2.123364088107e-01,-9.262134526890e-02,-1.197150635418e-01,1.354685913644e-02
"                  79",-1.905436197603e-01,-2.121929879667e-01,-9.257589851706e-02,-1.196170894497e-01,1.352059546630e-02
"                  80",-1.908791440208e-01,-2.120008439498e-01,-9.254607379796e-02,-1.194547701519e-01,1.345434817697e-02
"                  81",-1.912255318432e-01,-2.117276363877e-01,-9.247233744163e-02,-1.192552989460e-01,1.339148075219e-02
"                  82",-1.918170585372e-01,-2.113316757600e-01,-9.229303305254e-02,-1.190386427075e-01,1.337280482748e-02
"                  83",-1.924637568583e-01,-2.108564793262e-01,-9.205603972572e-02,-1.188004396005e-01,1.337219993738e-02
"                  84",-1.927324189486e-01,-2.103308069513e-01,-9.183645177278e-02,-1.184943551785e-01,1.332895170285e-02
"                  85",-1.926212223633e-01,-2.099641166112e-01,-9.172911245445e-02,-1.182350041568e-01,1.325294585116e-02
"                  86",-1.923104814444e-01,-2.097937936236e-01,-9.172439717457e-02,-1.180693964490e-01,1.317249963721e-02
"                  87",-1.919464895015e-01,-2.095928771109e-01,-9.168536955185e-02,-1.179075075590e-01,1.311106900358e-02
"                  88",-1.915502194760e-01,-2.092362525371e-01,-9.153912165350e-02,-1.176971308836e-01,1.307900461506e-02
"                  89",-1.911186516619e-01,-2.087559591406e-01,-9.131764288746e-02,-1.174383162531e-01,1.306033668282e-02
"                  90",-1.906713469761e-01,-2.081050741926e-01,-9.101285695989e-02,-1.170922172327e-01,1.303968013642e-02
"                  91",-1.902723837212e-01,-2.074197242733e-01,-9.071158091223e-02,-1.167081433611e-01,1.299828122442e-02
"                  92",-1.900366128446e-01,-2.067577724635e-01,-9.042587156063e-02,-1.163319009028e-01,1.295301467111e-02
"                  93",-1.897237419269e-01,-2.059862765474e-01,-9.006013301722e-02,-1.159261435302e-01,1.293300525647e-02
"                  94",-1.891166163038e-01,-2.048821553595e-01,-8.951212312462e-02,-1.153700322348e-01,1.292895455511e-02
