Time (s),Ux,Uy,Uz,k,omega,p
1,0.496882331491,0.285699368475,0.293463570314,1,3.14022365966e-05,1
2,0.396444400768,0.170332856217,0.184819992083,0.270116213909,4.00528566056e-05,0.412842346996
3,0.303987123962,0.124364964389,0.14640680269,0.157350211318,4.48934049565e-05,0.329705781418
4,0.20881992355,0.11041257494,0.132107661509,0.105367948886,4.53946805405e-05,0.378683817861
5,0.150027395155,0.101104969217,0.102824654832,0.0748461935915,4.56296041072e-05,0.43259706346
6,0.120734917981,0.0925519129629,0.0851003260115,0.0562871485389,4.29461786763e-05,0.461356030729
7,0.102954074602,0.0817143916705,0.0777176472219,0.0452920981897,4.01056583562e-05,0.418491333831
8,0.094538922644,0.0772151104901,0.0702740802339,0.0386398546057,3.73158355319e-05,0.356672325472
9,0.0843638197367,0.0613803441743,0.0575318785594,0.0343639665,3.55486371572e-05,0.321602643168
10,0.0701359436983,0.0443107002452,0.0441426846017,0.0312299409963,3.41911914791e-05,0.319097054818
11,0.0576356315068,0.0338659814968,0.0352346773545,0.028700458502,3.36961889972e-05,0.317631615907
12,0.0498086612674,0.0284165173117,0.0300965244254,0.0265986042418,3.36672422121e-05,0.307351195663
13,0.0451219850437,0.0247041162512,0.0267261545469,0.0248208894948,3.39602665725e-05,0.281524501358
14,0.0417902685404,0.0217787822291,0.0244291016853,0.0232940540471,3.38353572008e-05,0.257269790273
15,0.0391248440817,0.0193350834343,0.0224665588561,0.0219677452525,3.39034859217e-05,0.244281551413
16,0.0364065423831,0.0172812044786,0.0205084533515,0.0208031826806,3.37517330798e-05,0.236227903797
17,0.0336823290985,0.0157638080447,0.0186806209197,0.0197712215853,3.40003681781e-05,0.228328956939
18,0.0314904877333,0.0147556174908,0.0171666324866,0.0188511720419,3.41513131225e-05,0.216662151741
19,0.0300044534895,0.0139249172147,0.0160510571797,0.0180242711008,3.44085345897e-05,0.204359224365
20,0.0290168340311,0.0131489670829,0.0152294947191,0.0172760153449,3.46314148456e-05,0.192431036972
21,0.0282585735852,0.0124337849031,0.0145333851754,0.01659448393,3.48662791015e-05,0.185574297928
22,0.027442398818,0.011831614629,0.013847334379,0.0159708581418,3.51797787815e-05,0.180017432063
23,0.0265195524271,0.0113922041717,0.0131642278906,0.0153987850066,3.55708872872e-05,0.174884333141
24,0.0256263613246,0.0110356688308,0.012561135212,0.0148712644675,3.59855975682e-05,0.169139936102
25,0.0246789490041,0.0106831140025,0.0120591321996,0.0143818509524,3.62823092942e-05,0.163087722043
26,0.0237052543758,0.0103313875487,0.0116369571859,0.0139255099846,3.66002774411e-05,0.15705078314
27,0.022732270437,0.0100278486123,0.0112587619669,0.0134981191136,3.70309483234e-05,0.152182647414
28,0.0217557065277,0.00979032481774,0.0109025623436,0.0130960862887,3.7443838756e-05,0.148487211835
29,0.0208155469724,0.00959351532611,0.010567304283,0.0127142109951,3.77657726725e-05,0.145363985375
30,0.0199271205695,0.00939751660182,0.0102669772334,0.0123505522349,3.79873750206e-05,0.142253410331
31,0.01911543259,0.00920320328101,0.0100017286061,0.0120041735835,3.83790307643e-05,0.138922550323
32,0.0183704887092,0.00902693309751,0.00976703779416,0.0116740894184,3.88463152616e-05,0.136257380757
33,0.0176788565488,0.00887625752029,0.00955651500593,0.0113586146681,3.92650213921e-05,0.134014134962
34,0.0170253149981,0.00875175871249,0.00936874230428,0.0110562784375,3.96273237951e-05,0.131945383814
35,0.0164108643266,0.00863204992087,0.0092026515805,0.0107666812018,4.0011881804e-05,0.13045174573
36,0.0158224712656,0.00852106502091,0.00904175404696,0.0104895544532,4.03410106431e-05,0.129331930087
37,0.0153280000202,0.00841456091282,0.00889424047674,0.0102247486474,4.07072824315e-05,0.128879470175
38,0.0149150999685,0.00831313319951,0.00878466603073,0.00997195978227,4.10827784053e-05,0.128611885073
39,0.0145397584532,0.00822794636277,0.00870362291459,0.00973021468618,4.12895890898e-05,0.129026194984
40,0.0141700248658,0.00816478717987,0.00862488051338,0.0094992232687,4.14440143009e-05,0.129436723652
41,0.0138310286484,0.00809899465067,0.0085514116575,0.00927785449796,4.15629451034e-05,0.130413412086
42,0.01354117361,0.00802883003815,0.00849450287321,0.00906545389509,4.16899914794e-05,0.130588433661
43,0.0132819386441,0.00795952554343,0.00845006795059,0.00886156460342,4.181356193e-05,0.131981834248
44,0.0130419457852,0.00790414404595,0.00841769912524,0.00866569020436,4.20350048386e-05,0.133200306051
45,0.0128459981518,0.0078538593444,0.00839913007563,0.00847713710096,4.22693987425e-05,0.134074862321
46,0.0126670993589,0.00781407859835,0.00838473061268,0.00829549970138,4.25076134954e-05,0.135640867584
47,0.0125138114241,0.00777841808613,0.00837601827699,0.00812074726829,4.27603320314e-05,0.137500274666
48,0.0124138433538,0.00774795267819,0.008376613639,0.00795248345733,4.29842572695e-05,0.139438801875
49,0.0123326535706,0.00772794690823,0.00838042678595,0.00779018771658,4.32390790414e-05,0.140926526364
50,0.012260144008,0.00771180679877,0.00838693312723,0.00763327446788,4.35299225706e-05,0.142426121843
51,0.0121870851154,0.00769946876684,0.00839380757448,0.00748168023069,4.37692980947e-05,0.144075604492
52,0.0121370362345,0.00768702828625,0.0084042514501,0.00733525581752,4.38763924731e-05,0.145034398502
53,0.0121016622013,0.00767939947802,0.00841997552979,0.00719358614392,4.38950924382e-05,0.145401333129
54,0.0120853238677,0.0076759921726,0.00844601529039,0.0070562013395,4.38602134232e-05,0.145964385201
55,0.0120848030906,0.00768104456934,0.00846508096635,0.00692354380902,4.38127469401e-05,0.147247188931
56,0.0120856974326,0.00769972441287,0.00848648801358,0.00679526072757,4.37948768729e-05,0.148890608354
57,0.0121115589226,0.0077370949001,0.00850540052658,0.00667131370212,4.38358545565e-05,0.149879244833
58,0.0121395803757,0.0077863570483,0.00852397565146,0.00655110904423,4.38290637336e-05,0.151064774924
59,0.0121768990615,0.00782734383027,0.00853995717481,0.00643466197288,4.3780319041e-05,0.152201094627
60,0.0122192716198,0.00786077379748,0.00855657574237,0.0063218064828,4.37221618188e-05,0.152732896926
61,0.0122744657687,0.00788574856025,0.00857984979567,0.00621233253307,4.3627703838e-05,0.152987707827
62,0.0123294510261,0.00791962801548,0.00860495360727,0.00610641462813,4.35758100998e-05,0.153417676263
63,0.0123831590188,0.00794901792842,0.00862391379828,0.00600360471512,4.3477174169e-05,0.153436195868
64,0.0124348230021,0.00798000475974,0.00863939971723,0.0059041167468,4.34378127652e-05,0.153114004748
65,0.0124876211808,0.0080084080346,0.00866057019362,0.00580749870919,4.34544933469e-05,0.153060420126
66,0.0125435756814,0.00803959585302,0.00868894040323,0.00571408277414,4.35038569116e-05,0.153356295147
67,0.0125943986396,0.00807568134008,0.00871630982636,0.00562329924288,4.3517235464e-05,0.153621119597
68,0.0126195926495,0.00811888670442,0.00874478352433,0.00553529526725,4.35112025595e-05,0.15379328585
69,0.0126292515479,0.00816081293678,0.00876611591847,0.00544996999363,4.34430836559e-05,0.154270496319
70,0.012641795332,0.00820725563737,0.00878693512756,0.00536686468673,4.33442391021e-05,0.154921561268
71,0.0126716409074,0.00825593856172,0.00881823272903,0.00528663313245,4.3263862203e-05,0.155556518112
72,0.0127087635719,0.00831097932668,0.00885663201855,0.00520900473212,4.32317490329e-05,0.156088043847
73,0.0127341997998,0.00837541422338,0.0088912152604,0.00513347887683,4.32912005793e-05,0.15697440662
74,0.0127368808994,0.00844275935077,0.008921771808,0.00506032942422,4.32702330022e-05,0.157386378143
75,0.0127264195175,0.00850389645654,0.00894829725818,0.00498862910965,4.31845571618e-05,0.157390400607
76,0.0126874238045,0.00855942418326,0.00896607693752,0.0049187652591,4.30221047138e-05,0.156484459466
77,0.012616011192,0.00860312846231,0.00897646313042,0.00485084474864,4.28353539713e-05,0.154743293708
78,0.0125103861967,0.00863311210842,0.00896863450876,0.00478475364624,4.26835085375e-05,0.153009231407
79,0.0123812058562,0.00864708111418,0.00894128069147,0.00472080118415,4.26026958442e-05,0.151419901616
80,0.0122329249481,0.00863991871011,0.00890118051987,0.00465862887772,4.24890079092e-05,0.15037107372
81,0.0120710702639,0.00862768887523,0.00885752001734,0.00459776732254,4.2350169247e-05,0.149341627829
82,0.0119294735821,0.00861045407139,0.00881384028196,0.00453854042677,4.22700695032e-05,0.147766520844
