Time (s),POROUS_MOMENT_X,POROUS_MOMENT_Y,POROUS_MOMENT_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.493506280668e+02,-1.457075704995e+01,-2.116274311254e+01,1.522886969079e+02,-1.186909756814e+01,-1.858976233352e+01,2.938068841131e+00,2.701659481813e+00,2.572980779026e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.531961812959e+02,-2.288919496065e+01,-3.653350007137e+01,2.542988180148e+02,-2.166186788701e+01,-3.574602656649e+01,1.102636718855e+00,1.227327073637e+00,7.874735048841e-01
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.112888865613e+02,-1.940646107062e+01,-3.395083860805e+01,2.116525419922e+02,-1.853763885657e+01,-3.362115441620e+01,3.636554309038e-01,8.688222140508e-01,3.296841918538e-01
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.109960873954e+02,-1.207630590857e+01,-2.376680983798e+01,1.111270481513e+02,-1.134137753216e+01,-2.358522785141e+01,1.309607559179e-01,7.349283764071e-01,1.815819865672e-01
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.428836207925e+01,-7.785625361052e+00,-1.775957295142e+01,6.422567359116e+01,-7.161872350721e+00,-1.755968670979e+01,-6.268848809682e-02,6.237530103310e-01,1.998862416306e-01
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.255017174711e+01,-7.787596986388e+00,-1.831472308669e+01,9.250646744727e+01,-7.258101642296e+00,-1.815631290965e+01,-4.370429983300e-02,5.294953440919e-01,1.584101770357e-01
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.404023916726e+02,-9.357104269045e+00,-2.116578177488e+01,1.404103972968e+02,-8.905291529870e+00,-2.104049191480e+01,8.005624196311e-03,4.518127391749e-01,1.252898600852e-01
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.548532368775e+02,-9.939301495945e+00,-2.168975611580e+01,1.548574732421e+02,-9.494661055660e+00,-2.160238997933e+01,4.236364579621e-03,4.446404402847e-01,8.736613647009e-02
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.297269505985e+02,-8.847939350036e+00,-1.966847534197e+01,1.297232098254e+02,-8.465363404026e+00,-1.954931079857e+01,-3.740773061235e-03,3.825759460101e-01,1.191645434047e-01
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.311349800119e+01,-7.072612886223e+00,-1.675096833174e+01,9.310064367162e+01,-6.680324650079e+00,-1.664491799739e+01,-1.285432957053e-02,3.922882361446e-01,1.060503343479e-01
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.280506444273e+01,-5.676366252553e+00,-1.438723524237e+01,7.276985600665e+01,-5.297493516152e+00,-1.427138726161e+01,-3.520843607875e-02,3.788727364018e-01,1.158479807532e-01
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.305688174685e+01,-5.168985569975e+00,-1.323735556027e+01,7.303297896331e+01,-4.800726241723e+00,-1.314423443568e+01,-2.390278353980e-02,3.682593282516e-01,9.312112458249e-02
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.018139987840e+01,-5.446724619316e+00,-1.303389600304e+01,8.015444046274e+01,-5.090964783566e+00,-1.292817830688e+01,-2.695941565900e-02,3.557598357494e-01,1.057176961620e-01
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.086687568330e+01,-5.838498483080e+00,-1.303674801815e+01,8.082956010032e+01,-5.504264757460e+00,-1.293718591778e+01,-3.731558297859e-02,3.342337256203e-01,9.956210037224e-02
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.322646490254e+01,-5.845703805256e+00,-1.286815889064e+01,7.320202510552e+01,-5.527298066062e+00,-1.277262200885e+01,-2.443979701897e-02,3.184057391938e-01,9.553688179922e-02
